communityID,urban_score_div
0940041,1.5
0940042,2.5
0940043,4.5
1940373,2
1940371,2.5
1940372,3
0640283,2
0640282,1.5
0640281,1.5
0640332,3
0640331,3
0640333,5
0604813,3.5
0604811,2
0604812,1
0604401,4.5
0604403,5.5
0604402,5
0655463,4
0655461,6
0655462,3
0646043,1.5
0646041,4
0646042,1.5
1711591,3
1711593,4.5
1711592,3.5
1755311,2
1755312,4.5
1755313,3
1746433,2.5
1746432,3
1746431,4
1774022,2.5
1774023,1.5
1774021,2
1040041,2
1040043,1.5
1040042,3.5
1053811,3
1053813,2.5
1053812,4
1082593,5
1082592,2.5
1082591,1.5
1082061,3
1082063,2.5
1082062,2.5
1051022,4
1051023,2.5
1051021,2.5
1017912,2
1017911,3.5
1017913,2.5
1624313,1
1624311,3
1624312,4
1611593,0.5
1611592,2
1611591,2
1601041,3
1601042,2
1601043,0.5
1682313,1.5
1682311,1.5
1682312,3.5
1660063,5
1660062,5.5
1660061,1.5
2124281,2
2124282,1.5
2124283,4.5
2111763,3.5
2111761,2.5
2111762,2.5
2111542,5
2111541,2
2111543,3.5
1440163,2
1440161,1.5
1440162,1.5
1424032,4
1424033,3.5
1424031,2.5
1411542,3
1411543,3.5
1411541,3
1455283,3.5
1455281,3
1455282,4.5
1840373,2
1840371,2
1840372,0.5
1111541,2.5
1111543,5.5
1111542,2
1101311,2
1101312,2
1101313,3
1182763,1.5
1182762,2
1182761,2
1146041,3
1146042,4
1146043,4.5
1174891,4.5
1174893,2.5
1174892,3.5
1127441,1.5
1127442,3
1127443,3
1160062,3.5
1160063,3
1160061,3.5
2040281,1
2040282,5.5
2040283,5
2024542,4
2024543,3
2024541,1
2053041,2
2053042,1
2053043,2
2001042,1
2001041,1.5
2001043,3.5
2074282,4.5
2074283,4.5
2074281,6
2074063,3.5
2074062,2.5
2074061,5
2049063,1
2049062,4.5
2049061,7.5
2653591,2
2653592,2.5
2653593,2
2655761,3
2655762,5.5
2655763,5.5
2627281,3
2627282,1.5
2627283,2.5
2660592,2.5
2660591,4
2660593,3.5
2686062,1
2686061,5
2686063,2
2663061,1.5
2663062,2.5
2663063,3
2616762,5
2616763,2.5
2616761,3.5
0340432,2
0340431,2
0340433,2
0311062,1.5
0311063,2.5
0311061,4
0304763,3
0304761,5.5
0304762,3.5
0346761,3.5
0346762,2
0346763,2
0740043,1
0740042,5.5
0740041,1
0740573,5
0740572,0
0740571,2
0740021,5
0740023,2
0740022,2
0724281,5
0724282,5
0724283,1.5
0753763,2
0753762,4.5
0753761,3
0782333,5
0782332,4
0782331,2
0755043,1.5
0755041,2
0755042,2
0746313,4.5
0746311,2.5
0746312,5
0749811,3
0749813,2.5
0749812,5
2940283,2
2940282,1.5
2940281,1
2940991,2.5
2940993,3
2940992,2
2924581,5
2924582,5.5
2924583,0.5
2953313,3.5
2953311,5.5
2953312,3.5
2982452,2.5
2982453,4
2982451,2
2974391,0.5
2974392,5
2974393,6
2960061,3
2960063,5
2960062,5
2960812,2.5
2960813,5
2960811,5
2986313,1
2986313,1
2986313,1
2986312,4.5
2986311,2.5
2986311,2.5
2986311,2.5
2963313,3
2963312,2
2963311,5
2916762,4
2916763,2
2916761,2.5
3240781,2.5
3240782,1.5
3240783,2
3240453,4
3240452,3.5
3240451,3.5
3211163,1.5
3211161,2
3211162,4.5
3211311,2
3211313,1
3211312,4
3253061,3
3253063,3
3253062,2.5
3201462,4
3201463,2.5
3201461,2
3255543,3
3255542,2
3255541,2
3246813,3.5
3246811,5.5
3246812,2.5
3263592,3.5
3263593,3.5
3263591,2.5
3263462,3
3263463,3.5
3263461,5
3216592,5
3216593,4
3216591,4
2704022,3
2704021,3.5
2704023,2
2755593,1.5
2755592,2
2755591,5.5
2749512,3
2749513,4
2749511,4
2718062,2
2718063,2.5
2718061,2.5
3340022,1
3340021,2.5
3340023,1.5
3301021,3.5
3301022,4.5
3301023,5
3301311,2.5
3301313,1.5
3301312,2.5
3304043,4.5
3304042,2.5
3304041,1.5
3382312,6
3382313,3
3382311,2
3346313,3
3346312,3
3346311,3
3360593,2
3360592,2
3360591,2
1540581,2
1540583,2
1540582,NA
1540443,5
1540442,4
1540441,6
1511561,0
1511563,6
1511562,NA
1504783,3
1504782,2.5
1504781,NA
1582782,1
1582781,3.5
1582783,1
1582313,3.5
1582311,3.5
1582312,5
1546281,3.5
1546283,6.5
1546282,2
1546761,1.5
1546762,5.5
1546763,2.5
1546313,4.5
1546312,3.5
1546311,2.5
1556762,4.5
1556763,2.5
1556761,2.5
1538591,3
1538592,1.5
1538593,2.5
2440561,5.5
2440562,3.5
2440563,2
2411161,3.5
2411162,5
2411163,3
2446041,2
2446042,4
2446043,2
2446761,2.5
2446763,2.5
2446762,3
2427023,5
2427022,8.5
2427021,5
1240993,5.5
1240992,5
1240991,4
1224902,3
1224903,4
1224901,2
0540542,2.5
0540541,3
0540543,3
0582022,2.5
0582023,5.5
0582021,3
0574571,1.5
0574572,2
0574573,3
0560592,2
0560591,5
0560593,4.5
0560432,2
0560431,3
0560433,3
0586592,1
0586591,4.5
0586593,5
0563021,2
0563023,4
0563022,2.5
0563463,2
0563462,7
0563461,3.5
0516061,3.5
0516063,4.5
0516062,3.5
0566042,3
0566043,3
0566041,3
0576331,3
0576332,2
0576333,2
0542493,3
0542492,6
0542491,10
3477633,2.5
3477632,3.5
3477631,5
3452333,2
3452331,4.5
3452332,4.5
0140513,4.5
0140511,3
0140512,3
0140313,1.5
0140311,1.5
0140312,3
0101042,3.5
0101041,1.5
0101043,1.5
0104462,6
0104463,3.5
0104461,8.5
0104513,2.5
0104511,4
0104512,4
0182062,1.5
0182061,4
0182063,2
0146432,1.5
0146431,2.5
0146433,1
0102062,5
0102061,3
0102063,5
0102333,3.5
0102331,1.5
0102332,3.5
2811041,5
2811042,1.5
2811043,2.5
2811163,1
2811162,5
2811161,5
2801543,2.5
2801542,7.5
2801541,2
2882511,3.5
