communityID,urban_score_edu
0101041,2.5
0101042,3.8
0101043,5.1
0102061,3.25
0102062,3.25
0102063,2.74
0102331,3.3
0102332,2.88
0102333,4.08
0104461,3.3
0104462,2.88
0104463,2.62
0104511,2.84
0104512,2.662
0104513,3.56
0140311,2.4800000000000004
0140312,2.4800000000000004
0140313,2.7
0140511,3.12
0140512,2.4800000000000004
0140513,1.6200000000000003
0146431,3.18
0146432,4.2
0146433,2.68
0182061,2.7560000000000002
0182062,3.6399999999999997
0182063,2.78
0304761,3.4900000000000007
0304762,3.79
0304763,4.05
0311061,2.84
0311062,2.78
0311063,2.8
0340431,3.37
0340432,3.1
0340433,3.6399999999999997
0346761,2.6
0346762,3.14
0346763,3.9
0467461,2.65
0467462,2.0801
0467463,2.72
0516061,3.41
0516062,1.026
0516063,2.32
0540541,3.06
0540542,3.06
0540543,3.06
0542491,2.38
0542492,4.22
0542493,3.2
0560431,2.4189999999999996
0560432,3.85
0560433,3.9
0560591,1.8799999999999997
0560592,2.3
0560593,2.5
0563021,4.2
0563022,3.6800000000000006
0563023,3.22
0563461,2.74
0563462,2.92
0563463,3.4
0566041,3.56
0566042,3.3
0566043,3.7599999999999993
0574571,2.54
0574572,2.78
0574573,1.916
0576331,0.22000000000000003
0576332,0.5
0576333,0.4
0582021,4.04
0582022,2.64
0582023,2.6319999999999997
0586591,2.56
0586592,3.56
0586593,3.8839999999999995
0604401,1
0604402,1.1
0604403,2.98
0604811,2.3
0604812,3.55
0604813,3.88
0640281,3.6399999999999997
0640282,3.96
0640283,3.742
0640331,3.69
0640332,3.8199999999999994
0640333,3.6
0646041,3.2181333333333333
0646042,3.2181333333333333
0646043,3.2181333333333333
0655461,3.7400000000000007
0655462,3.6
0655463,3.6700000000000004
0724281,3.84
0724282,3.78
0724283,1.4040000000000001
0740021,4.9
0740022,3.9
0740023,3.9
0740041,5.1
0740042,5.1
0740043,5.1
0740571,5.1
0740572,5.1
0740573,7.7
0746311,3.4519999999999995
0746312,4.1144
0746313,4.4
0749811,3.8
0749812,3.5
0749813,3.2
0753761,5.38
0753762,0.89
0753763,5.12
0755041,4.93
0755042,4.64
0755043,5.22
0782331,2.2
0782332,3.05
0782333,2.625
0896761,3.06
0896762,3.78
0896763,2.78
0940041,3.7
0940042,4.1102
0940043,4.6
1017911,7.1
1017912,3.7400000000000007
1017913,5.2
1040041,6.2
1040042,5.314
1040043,5.29
1051021,5
1051022,2.7
1051023,3.9
1053811,2.25
1053812,2.29
1053813,1.89
1082061,3.1
1082062,2.6
1082063,3.6399999999999997
1082591,3.2039999999999997
1082592,4.4
1082593,4.74
1101311,5.3
1101312,3.5374999999999996
1101313,3.5374999999999996
1111541,3.8
1111542,3.4
1111543,3.9
1127441,5.06
1127442,3.6800000000000006
1127443,3.74
1146041,0.9399999999999998
1146042,4.3
1146043,3.5799999999999996
1160061,4.13
1160062,3.29
1160063,2.25
1174891,4.36
1174892,4.2
1174893,4.08
1182761,1.98
1182762,3.3600000000000003
1182763,2.08
1224901,3.1
1224902,2.5616000000000003
1224903,2.96
1240991,3.8600000000000003
1240992,2.48
1240993,2.54
1340041,3.12
1340042,7.7
1340043,4.74
1349021,3.03
1349022,1.42
1349023,3.2299999999999995
1355591,3.2
1355592,2.64
1355593,4.11
1382021,4.18
1382022,2.68
1382023,1.4
1411541,4
1411542,4.3
1411543,3.14
