communityID,urban_score_pop
0101041,3.5
0101042,7
0101043,3.5
0102061,3.5
0102062,3.5
0102063,3
0102331,3.5
0102332,5
0102333,3.7
0104461,4
0104462,4.5
0104463,4
0104511,3.5
0104512,4
0104513,4.5
0140311,7
0140312,3.5
0140313,7.5
0140511,6.5
0140512,6.1
0140513,6
0146431,5
0146432,5
0146433,5
0182061,4.5
0182062,5.5
0182063,3.5
0304761,5.5
0304762,5.5
0304763,4.5
0311061,6.5
0311062,6.5
0311063,5.5
0340431,3
0340432,4.5
0340433,4
0346761,3
0346762,4
0346763,3.5
0467461,5
0467462,5
0467463,4
0516061,5.5
0516062,5.5
0516063,5.5
0540541,5.5
0540542,5
0540543,6
0542491,5.5
0542492,5.5
0542493,5.5
0560431,3.5
0560432,4
0560433,5.5
0560591,5.5
0560592,10
0560593,4.5
0563021,7
0563022,6
0563023,4.5
0563461,3
0563462,6
0563463,5.3
0566041,4.25
0566042,4
0566043,4.5
0574571,5.5
0574572,6
0574573,4.5
0576331,2
0576332,2
0576333,2
0582021,6.5
0582022,3
0582023,5.5
0586591,4.5
0586592,8.5
0586593,5.5
0604401,7.5
0604402,5.5
0604403,5
0604811,6
0604812,5.5
0604813,5.5
0640281,8.5
0640282,8.5
0640283,7.5
0640331,4
0640332,5
0640333,4
0646041,7
0646042,7.5
0646043,8
0655461,3.5
0655462,3
0655463,3.5
0724281,7
0724282,7
0724283,7.5
0740021,5.5
0740022,4.5
0740023,4.5
0740041,7
0740042,9.5
0740043,9
0740571,8.5
0740572,6.5
0740573,4.5
0746311,5.5
0746312,5.5
0746313,5
0749811,4.5
0749812,6
0749813,4.5
0753761,8.5
0753762,8.5
0753763,8.5
0755041,5
0755042,7.5
0755043,8
0782331,4
0782332,4
0782333,4.5
0896761,4.5
0896762,7
0896763,5.5
0940041,6.5
0940042,8
0940043,6.5
1017911,1
1017912,6
1017913,1
1040041,8
1040042,9
1040043,7.5
1051021,5.5
1051022,6
1051023,6.5
1053811,7
1053812,5.5
1053813,7
1082061,1
1082062,3.5
1082063,0.5
1082591,2.5
1082592,3.5
1082593,5.5
1101311,6
1101312,6.5
1101313,5
1111541,7
1111542,5.5
1111543,7
1127441,6.5
1127442,5
1127443,6
1146041,10
1146042,7
1146043,5
1160061,5.5
1160062,5.5
1160063,5
1174891,5.5
1174892,5
1174893,5.5
1182761,4
1182762,6
1182763,5
1224901,3.5
1224902,4
1224903,5.5
1240991,5
1240992,4
1240993,4
1340041,8.5
1340042,7.5
1340043,8.5
1349021,5
1349022,6
1349023,4.5
1355591,5
1355592,5
1355593,5
1382021,3
1382022,5.5
1382023,4.25
1411541,5
1411542,7
1411543,3.5
1424031,5.5
1424032,3
1424033,7.5
1440161,7.5
1440162,7
1440163,0
1455281,8.5
1455282,7.5
1455283,7.5
1504781,6
1504782,6.5
1504783,6
1511561,8
1511562,6.5
1511563,9
1538591,6
1538592,6.5
1538593,7.5
1540441,5
1540442,3.5
1540443,6.5
1540581,8.5
1540582,6
1540583,8.5
1546281,6
1546282,6.5
1546283,6
1546311,3.5
1546312,5
1546313,5.5
1546761,6
1546762,5
1546763,6
1556761,4
1556762,7
1556763,6.5
1582311,6.5
1582312,7.5
1582313,4.5
1582781,5
1582782,6
1582783,5.5
1601041,8
1601042,8.5
1601043,7.5
1611591,4.5
1611592,4.5
1611593,8
1624311,8
1624312,1.5
1624313,8
1660061,4
1660062,3.5
1660063,4.5
1682311,4.5
1682312,4
1682313,8
1711591,4.5
1711592,3.5
1711593,3.5
1746431,4.5
1746432,4.5
1746433,5
1755311,6
1755312,7
1755313,8
1774021,6
1774022,5.5
1774023,5.75
1840371,7.5
1840372,8.5
1840373,8.5
1940371,6
1940372,6
1940373,6
2001041,8.5
2001042,6.5
2001043,4.5
2024541,5.5
2024542,6.5
2024543,6.5
2040281,8
2040282,9
2040283,7
2049061,5
2049062,4.5
2049063,5.5
2053041,7.5
2053042,6
2053043,7
2074061,6
2074062,5.5
2074063,5.75
2074281,4.5
2074282,6
2074283,6.5
2111541,7.5
2111542,6.5
2111543,4
2111761,4.5
2111762,3
2111763,3.5
2124281,4.5
2124282,6.5
2124283,6
2411161,8.5
2411162,0.5
2411163,7
2427021,3.5
2427022,3.5
2427023,3.5
2440561,9.5
2440562,5
2440563,5.5
2446041,7
2446042,7.5
2446043,6
2446761,5
2446762,5.5
2446763,4.5
2616761,5.5
2616762,6
2616763,5.5
2627281,5.5
2627282,6
2627283,6
2653591,5.5
2653592,6
2653593,5.5
2655761,6
2655762,5
2655763,5
2660591,5.5
2660592,6
