urban_score_pop,urban_score_markets,urban_score_trans,urban_score_housing,urban_score_econ,urban_score_div,communityID,urban_score
3.5,3.3333333333333335,4.9998000000000005,2.7322404371584703,3.5,3,0101041,21.065373770491803
7,4.444444444444445,4.9998000000000005,8.269845557076435,5.5,4.625,0101042,34.83909000152088
3.5,3.3333333333333335,6.6664,2.914389799635701,3.5,4.25,0101043,24.164123132969035
3.5,3.3333333333333335,0,3.278688524590164,3.5,3.75,0102061,17.362021857923498
3.5,3.3333333333333335,0,3.019884638737098,3.5,4.25,0102062,17.603217972070432
3,3.3333333333333335,0,3.187613843351548,3.5,4.5,0102063,17.52094717668488
3.5,3.3333333333333335,0,3.856246280365742,4.5,4.75,0102331,19.939579613699074
5,3.3333333333333335,4.9998000000000005,4.795995305054839,4,4,0102332,26.12912863838817
3.7,3.3333333333333335,4.9998000000000005,4.789304111091526,4.5,3.5,0102333,24.822437444424857
4,5.555555555555555,1.6666,4.3679969089805155,8.5,7.25,0104461,31.340152464536068
4.5,3.3333333333333335,0,4.1051348055818995,6,6.25,0104462,24.188468138915233
4,0,3.3332,6.612021857923497,4,3.75,0104463,21.6952218579235
3.5,3.3333333333333335,0,2.7322404371584703,4.5,4.25,0104511,18.315573770491802
4,3.3333333333333335,1.6666,2.7322404371584703,3.5,3,0104512,18.232173770491805
4.5,3.3333333333333335,3.3332,1.108075288403157,3,3.25,0104513,18.52460862173649
7,3.3333333333333335,6.6664,6.9813042149107725,5.5,4.5,0140311,33.9810375482441
3.5,2.2222222222222223,6.6664,3.324225865209472,5,4.5,0140312,25.212848087431695
7.5,4.444444444444445,6.6664,9.990892531876138,6,3.75,0140313,38.35173697632058
6.5,4.444444444444445,4.9998000000000005,8.187613843351548,3.5,4.5,0140511,32.13185828779599
6.1,3.3333333333333335,3.3332,7.19988344988345,4.5,4.5,0140512,28.966416783216783
6,3.3333333333333335,4.9998000000000005,7.123759664743272,4.5,5,0140513,30.956892998076604
5,0,4.9998000000000005,6.901876930387265,3,3.5,0146431,23.401676930387264
5,2.2222222222222223,4.9998000000000005,6.89052934647442,3,3,0146432,25.11255156869664
5,2.2222222222222223,1.6666,2.755009107468124,0,1.75,0146433,13.393831329690347
4.5,0,0,3.0547965998785673,4,4,0182061,15.554796599878568
5.5,3.3333333333333335,1.6666,4.7632058287796,4,3.25,0182062,22.513139162112935
3.5,2.2222222222222223,0,3.1944444444444446,3.5,2.75,0182063,15.166666666666668
5.5,5.555555555555555,4.9998000000000005,9.304257528556594,6,5.25,0304761,36.60961308411215
5.5,3.3333333333333335,6.6664,9.052383120825745,6,5.5,0304762,36.052116454159076
4.5,3.3333333333333335,6.6664,5.94535519125683,4.5,4.5,0304763,29.44508852459016
