communityID,year,urban_score_div,city_eng
0101041,2011,1.5,Baoshan
0101042,2011,4.5,Baoshan
0101043,2011,2,Baoshan
0102061,2011,2.5,Chuxiong
0102062,2011,5.5,Chuxiong
0102063,2011,5.5,Chuxiong
0102331,2011,2,Chuxiong
0102332,2011,3,Chuxiong
0102333,2011,5.5,Chuxiong
0104461,2011,2.5,Zhaotong
0104462,2011,2,Zhaotong
0104463,2011,5.5,Zhaotong
0104511,2011,4.5,Zhaotong
0104512,2011,4,Zhaotong
0104513,2011,2,Zhaotong
0140311,2011,5.5,Kunming
0140312,2011,2,Kunming
0140313,2011,5.5,Kunming
0140511,2011,3.5,Kunming
0140512,2011,5.5,Kunming
0140513,2011,2.5,Kunming
0146431,2011,1.5,Lincang
0146432,2011,2.5,Lincang
0146433,2011,1,Lincang
0182061,2011,2,Lijiang
0182062,2011,1.5,Lijiang
0182063,2011,2.5,Lijiang
0304761,2011,5.5,Zhangzhou
0304762,2011,5.5,Zhangzhou
0304763,2011,5.5,Zhangzhou
0311061,2011,4.5,Putian
0311062,2011,3.5,Putian
0311063,2011,5.5,Putian
0340431,2011,4,Fuzhou
0340432,2011,4,Fuzhou
0340433,2011,2,Fuzhou
0346761,2011,2.5,Ningde
0346762,2011,2,Ningde
0346763,2011,3,Ningde
0467461,2011,2,Haidong
0467462,2011,3,Haidong
0467463,2011,3,Haidong
0516061,2011,2,Guangan
0516062,2011,2,Guangan
0516063,2011,2,Guangan
0540541,2011,3.5,Chengdu
0540542,2011,5.5,Chengdu
0540543,2011,3.5,Chengdu
0542491,2011,2.5,Liangshan
0542492,2011,2,Liangshan
0542493,2011,5.5,Liangshan
0560431,2011,2,Nanchong
0560432,2011,1.5,Nanchong
0560433,2011,2.5,Nanchong
0560591,2011,4.5,Nanchong
0560592,2011,5.5,Nanchong
0560593,2011,5.5,Nanchong
0563021,2011,5.5,Yibin
0563022,2011,5.5,Yibin
0563023,2011,5.5,Yibin
0563461,2011,3,Yibin
0563462,2011,2.5,Yibin
0563463,2011,5.5,Yibin
0566041,2011,2.5,Ziyang
0566042,2011,2.5,Ziyang
0566043,2011,5.5,Ziyang
0574571,2011,1.5,Neijiang
0574572,2011,2,Neijiang
0574573,2011,2,Neijiang
0576331,2011,1.5,Ganzi
0576332,2011,2,Ganzi
0576333,2011,3.5,Ganzi
0582021,2011,5.5,Mianyang
0582022,2011,2,Mianyang
0582023,2011,1.5,Mianyang
0586591,2011,2,Meishan
0586592,2011,3.5,Meishan
0586593,2011,2.5,Meishan
0604401,2011,1.5,Baoding
0604402,2011,1,Baoding
0604403,2011,1.5,Baoding
0604811,2011,1.5,Baoding
0604812,2011,1.5,Baoding
0604813,2011,2,Baoding
0640281,2011,4,Shijiazhuang
0640282,2011,3.5,Shijiazhuang
0640283,2011,4.5,Shijiazhuang
0640331,2011,2,Shijiazhuang
0640332,2011,2.5,Shijiazhuang
0640333,2011,2,Shijiazhuang
0646041,2011,4,Cangzhou
0646042,2011,5.5,Cangzhou
0646043,2011,3,Cangzhou
0655461,2011,3.5,Chengde
0655462,2011,2.5,Chengde
0655463,2011,5.5,Chengde
0724281,2011,3,Jingdezhen
0724282,2011,5.5,Jingdezhen
0724283,2011,5.5,Jingdezhen
0740021,2011,5.5,Nanchang
0740022,2011,2.5,Nanchang
0740023,2011,1,Nanchang
0740041,2011,5.5,Nanchang
0740042,2011,3,Nanchang
0740043,2011,5.5,Nanchang
0740571,2011,5.5,Nanchang
0740572,2011,2.5,Nanchang
0740573,2011,4.5,Nanchang
0746311,2011,1.5,Yichun
0746312,2011,3,Yichun
0746313,2011,1.5,Yichun
0749811,2011,1,Shangrao
0749812,2011,2,Shangrao
0749813,2011,1.5,Shangrao
0753761,2011,2.5,Jiujiang
0753762,2011,4,Jiujiang
0753763,2011,3.5,Jiujiang
0755041,2011,5.5,Jian
0755042,2011,3.5,Jian
0755043,2011,1.5,Jian
0782331,2011,4.5,Ganzhou
0782332,2011,3,Ganzhou
0782333,2011,5.5,Ganzhou
0896761,2011,2,Akesu
0896762,2011,4,Akesu
0896763,2011,4.5,Akesu
0940041,2011,4,Beijing
0940042,2011,5.5,Beijing
0940043,2011,5.5,Beijing
1017911,2011,5.5,Xilingol
1017912,2011,3,Xilingol
1017913,2011,5.5,Xilingol
1040041,2011,5.5,Hohhot
1040042,2011,5.5,Hohhot
1040043,2011,5.5,Hohhot
1051021,2011,3,Hinggan
1051022,2011,4,Hinggan
1051023,2011,4,Hinggan
1053811,2011,3.5,Chifeng
1053812,2011,2,Chifeng
1053813,2011,1.5,Chifeng
1082061,2011,3.5,Hulunbuir
1082062,2011,2,Hulunbuir
1082063,2011,2,Hulunbuir
1082591,2011,5.5,Hulunbuir
1082592,2011,5.5,Hulunbuir
1082593,2011,6,Hulunbuir
1101311,2011,6,Suzhou
1101312,2011,5.5,Suzhou
1101313,2011,5.5,Suzhou
1111541,2011,5.5,Xuzhou
1111542,2011,1,Xuzhou
1111543,2011,5.5,Xuzhou
1127441,2011,3,Taizhou
1127442,2011,2,Taizhou
1127443,2011,2.5,Taizhou
1146041,2011,3.5,Yancheng
1146042,2011,3,Yancheng
1146043,2011,5.5,Yancheng
1160061,2011,3,Suqian
1160062,2011,3,Suqian
1160063,2011,3,Suqian
1174891,2011,4.5,Yangzhou
1174892,2011,3.5,Yangzhou
1174893,2011,5.5,Yangzhou
1182761,2011,2,Lianyungang
1182762,2011,2,Lianyungang
1182763,2011,1.5,Lianyungang
1224901,2011,4,Chongqing
1224902,2011,2.5,Chongqing
1224903,2011,3,Chongqing
1240991,2011,5.5,Chongqing
1240992,2011,4.5,Chongqing
1240993,2011,4,Chongqing
1340041,2011,3.5,Lanzhou
1340042,2011,4.954545454545454,Lanzhou
1340043,2011,3.5,Lanzhou
1349021,2011,1.5,Dingxi
1349022,2011,3,Dingxi
1349023,2011,4.5,Dingxi
1355591,2011,1.5,Pingliang
1355592,2011,3.5,Pingliang
1355593,2011,3,Pingliang
1382021,2011,1.5,Zhangye
1382022,2011,2.5,Zhangye
1382023,2011,5.5,Zhangye
1411541,2011,2,Jixi
1411542,2011,3.5,Jixi
1411543,2011,1.5,Jixi
1424031,2011,3,Qiqihar
1424032,2011,5.5,Qiqihar
1424033,2011,2.5,Qiqihar
1440161,2011,2.5,Harbin
1440162,2011,5.5,Harbin
1440163,2011,3,Harbin
1455281,2011,5.5,Jiamusi
1455282,2011,5.5,Jiamusi
1455283,2011,4.5,Jiamusi
1504781,2011,4.5,Foshan
1504782,2011,5.5,Foshan
1504783,2011,5.5,Foshan
1511561,2011,5.5,Shenzhen
1511562,2011,4.7727272727272725,Shenzhen
1511563,2011,5.5,Shenzhen
1538591,2011,3,Chaozhou
1538592,2011,3,Chaozhou
1538593,2011,5.5,Chaozhou
1540441,2011,5.5,Guangzhou
1540442,2011,3,Guangzhou
1540443,2011,3,Guangzhou
1540581,2011,5.5,Guangzhou
1540582,2011,4.545454545454546,Guangzhou
1540583,2011,4.5,Guangzhou
1546281,2011,3.5,Maoming
1546282,2011,3.5,Maoming
1546283,2011,3,Maoming
1546311,2011,3.5,Maoming
1546312,2011,4.5,Maoming
1546313,2011,5.5,Maoming
1546761,2011,5.5,Maoming
1546762,2011,3.5,Maoming
1546763,2011,4.5,Maoming
1556761,2011,5.5,Qingyuan
1556762,2011,4,Qingyuan
1556763,2011,5.5,Qingyuan
1582311,2011,5.5,Jiangmen
1582312,2011,5.5,Jiangmen
1582313,2011,5.5,Jiangmen
1582781,2011,5.5,Jiangmen
1582782,2011,5.5,Jiangmen
1582783,2011,5.5,Jiangmen
1601041,2011,4.5,Benxi
1601042,2011,5.5,Benxi
1601043,2011,4,Benxi
1611591,2011,2,Anshan
1611592,2011,2,Anshan
1611593,2011,2,Anshan
1624311,2011,5.5,Dalian
1624312,2011,3,Dalian
1624313,2011,2,Dalian
1660061,2011,2,Chaoyang
1660062,2011,2,Chaoyang
1660063,2011,1.5,Chaoyang
1682311,2011,1.5,Jinzhou
1682312,2011,2,Jinzhou
1682313,2011,3,Jinzhou
1711591,2011,3,Yangquan
1711592,2011,3,Yangquan
1711593,2011,3.5,Yangquan
1746431,2011,2,Xinzhou
1746432,2011,2,Xinzhou
1746433,2011,4,Xinzhou
1755311,2011,4,Yuncheng
1755312,2011,2,Yuncheng
1755313,2011,1,Yuncheng
1774021,2011,3,Linfen
1774022,2011,5.5,Linfen
1774023,2011,1,Linfen
1840371,2011,5.5,Shanghai
1840372,2011,2,Shanghai
1840373,2011,5.5,Shanghai
1940371,2011,4.5,Tianjin
1940372,2011,5.5,Tianjin
1940373,2011,3.5,Tianjin
2001041,2011,5.5,Huzhou
2001042,2011,4.5,Huzhou
2001043,2011,2.5,Huzhou
2024541,2011,3.5,Ningbo
2024542,2011,4,Ningbo
2024543,2011,3.5,Ningbo
2040281,2011,5.5,Hangzhou
2040282,2011,5.5,Hangzhou
2040283,2011,4.888888888888889,Hangzhou
2049061,2011,5.5,Lishui
2049062,2011,3,Lishui
2049063,2011,3,Lishui
2053041,2011,5.5,Jiaxing
2053042,2011,3,Jiaxing
2053043,2011,5.5,Jiaxing
2074061,2011,5.5,Taizhou
2074062,2011,5.5,Taizhou
2074063,2011,5.5,Taizhou
2074281,2011,5.5,Taizhou
2074282,2011,5.5,Taizhou
2074283,2011,4,Taizhou
2111541,2011,5.5,Siping
2111542,2011,5.5,Siping
