communityID,urban_score_div,year
0101041,2,2011
0101042,3,2011
0101043,2,2011
0102061,2,2011
0102062,4,2011
0102063,6,2011
0102331,2,2011
0102332,3,2011
0102333,4,2011
0104461,2,2011
0104462,2,2011
0104463,3,2011
0104511,3,2011
0104512,3,2011
0104513,2,2011
0140311,3,2011
0140312,2,2011
0140313,4,2011
0140511,3,2011
0140512,3,2011
0140513,2,2011
0146431,2,2011
0146432,2,2011
0146433,1,2011
0182061,2,2011
0182062,2,2011
0182063,2,2011
0304761,6,2011
0304762,4,2011
0304763,5,2011
0311061,3,2011
0311062,3,2011
0311063,4,2011
0340431,3,2011
0340432,3,2011
0340433,2,2011
0346761,2,2011
0346762,2,2011
0346763,3,2011
0467461,2,2011
0467462,3,2011
0467463,3,2011
0516061,2,2011
0516062,2,2011
0516063,2,2011
0540541,3,2011
0540542,3,2011
0540543,3,2011
0542491,2,2011
0542492,2,2011
0542493,4,2011
0560431,2,2011
0560432,2,2011
0560433,2,2011
0560591,3,2011
0560592,6,2011
0560593,5,2011
0563021,3,2011
0563022,3,2011
0563023,3,2011
0563461,3,2011
0563462,2,2011
0563463,4,2011
0566041,2,2011
0566042,2,2011
0566043,4,2011
0574571,2,2011
0574572,2,2011
0574573,2,2011
0576331,2,2011
0576332,2,2011
0576333,3,2011
0582021,3,2011
0582022,2,2011
0582023,2,2011
0586591,2,2011
0586592,3,2011
0586593,2,2011
0604401,2,2011
0604402,1,2011
0604403,1,2011
0604811,2,2011
0604812,2,2011
0604813,2,2011
0640281,3,2011
0640282,3,2011
0640283,3,2011
0640331,2,2011
0640332,2,2011
0640333,2,2011
0646041,3,2011
0646042,3,2011
0646043,3,2011
0655461,3,2011
0655462,2,2011
0655463,3,2011
0724281,3,2011
0724282,4,2011
0724283,3,2011
0740021,4,2011
0740022,2,2011
0740023,1,2011
0740041,4,2011
0740042,3,2011
0740043,4,2011
0740571,3,2011
0740572,2,2011
0740573,3,2011
0746311,2,2011
0746312,3,2011
0746313,2,2011
0749811,1,2011
0749812,2,2011
0749813,2,2011
0753761,2,2011
0753762,3,2011
0753763,3,2011
0755041,7,2011
0755042,3,2011
0755043,2,2011
0782331,3,2011
0782332,3,2011
0782333,4,2011
0896761,2,2011
0896762,3,2011
0896763,3,2011
0940041,3,2011
0940042,4,2011
0940043,5,2011
1017911,3,2011
1017912,3,2011
1017913,4,2011
1040041,5,2011
1040042,5,2011
1040043,4,2011
1051021,3,2011
1051022,3,2011
1051023,3,2011
1053811,3,2011
1053812,2,2011
1053813,2,2011
1082061,3,2011
1082062,2,2011
1082063,2,2011
1082591,6,2011
1082592,6,2011
1082593,7,2011
1101311,8,2011
1101312,4,2011
1101313,7,2011
1111541,3,2011
1111542,1,2011
1111543,3,2011
1127441,3,2011
1127442,2,2011
1127443,2,2011
1146041,3,2011
1146042,3,2011
1146043,5,2011
1160061,3,2011
1160062,3,2011
1160063,3,2011
1174891,3,2011
1174892,3,2011
1174893,3,2011
1182761,2,2011
1182762,2,2011
1182763,2,2011
1224901,3,2011
1224902,2,2011
1224903,3,2011
1240991,6,2011
1240992,3,2011
1240993,3,2011
1340041,3,2011
1340042,4,2011
1340043,3,2011
1349021,2,2011
1349022,3,2011
1349023,3,2011
1355591,2,2011
1355592,3,2011
1355593,3,2011
1382021,2,2011
1382022,2,2011
1382023,6,2011
1411541,2,2011
1411542,3,2011
1411543,2,2011
1424031,3,2011
1424032,4,2011
1424033,2,2011
1440161,2,2011
1440162,5,2011
1440163,3,2011
1455281,5,2011
1455282,4,2011
1455283,3,2011
1504781,3,2011
1504782,4,2011
1504783,4,2011
1511561,3,2011
1511562,4,2011
1511563,5,2011
1538591,3,2011
1538592,3,2011
1538593,4,2011
