communityID,urban_score_comm,year,urban_score_house,urban_score_econ,urban_score_sani,urban_score_insr,province_eng,city_eng,urban_nbs,urban_score,urban_flag
0101041,3.3333333333333335,2011,2,4.725220401578131,1.2280701754385965,5,Yunnan,Baoshan,0,16.28662391035006,0
0101042,3.0208333333333335,2011,6.3125,7.091391306937521,5.416666666666667,8.061224489795919,Yunnan,Baoshan,1,29.902615796733443,1
0101043,3,2011,0.4666666666666667,4.884736774391956,2.6666666666666665,5.0925925925925934,Yunnan,Baoshan,0,16.11066270031788,0
0102061,2.857142857142857,2011,1.4999999999999998,5.043819613532878,1.9047619047619044,5,Yunnan,Chuxiong,0,16.30572437543764,0
0102062,2.9166666666666665,2011,1.3333333333333333,5.011656828502162,1.6666666666666667,4.72972972972973,Yunnan,Chuxiong,0,15.658053224898557,0
0102063,2.413793103448276,2011,1.9310344827586206,4.7599462755870725,2.9885057471264367,4.8,Yunnan,Chuxiong,0,16.893279608920405,0
0102331,3.4782608695652173,2011,3.304347826086956,4.779153818209633,3.043478260869565,5,Yunnan,Chuxiong,0,19.60524077473137,0
0102332,2.777777777777778,2011,1.6666666666666667,4.8841903420758355,2.7777777777777772,4.833333333333333,Yunnan,Chuxiong,0,16.93974589763139,0
0102333,2.9166666666666665,2011,2.9375,4.254210796803046,2.8897849462365595,5.381355932203389,Yunnan,Chuxiong,0,18.37951834190966,0
0104461,2.1666666666666665,2011,3,4.805243149262157,3.5,4.84375,Yunnan,Zhaotong,1,18.315659815928825,1
0104462,3.0952380952380953,2011,3.4285714285714284,4.245627024174847,2.976190476190476,4.90566037735849,Yunnan,Zhaotong,1,18.651287401533338,1
0104463,3.205128205128205,2011,1.923076923076923,4.727887780835649,3.3333333333333335,4.772727272727273,Yunnan,Zhaotong,0,17.962153515101384,0
0104511,2.0634920634920637,2011,2.6666666666666665,5.331295054826389,2.380952380952381,5.416666666666666,Yunnan,Zhaotong,0,17.859072832604166,0
0104512,1.866666666666667,2011,1.7600000000000002,4.488163269207614,2.9333333333333336,5.113636363636363,Yunnan,Zhaotong,0,16.161799632843977,0
0104513,1.9696969696969695,2011,1.7272727272727273,4.881601565574596,2.5757575757575757,5.142857142857142,Yunnan,Zhaotong,0,16.29718598115901,0
0140311,1.8333333333333333,2011,9.904761904761905,7.704383608992433,6.666666666666667,9.324324324324325,Yunnan,Kunming,1,35.433469838078665,1
0140312,2.638888888888889,2011,4.416666666666667,4.690584748799975,2.777777777777778,5.6410256410256405,Yunnan,Kunming,0,20.16494372315895,0
0140313,4.166666666666667,2011,8.033333333333333,7.3985774866680485,4.666666666666667,7.391304347826086,Yunnan,Kunming,1,31.656548501160803,1
0140511,4.11764705882353,2011,3.4117647058823537,5.7290844821622295,1.1764705882352942,3.4375,Yunnan,Kunming,1,17.872466835103406,1
0140512,3.357487922705314,2011,4.46,5.4720335341581325,0.9333333333333335,4.772727272727273,Yunnan,Kunming,1,18.995582062924054,1
0140513,2.549019607843137,2011,3.294117647058824,5.307717384778308,0.7843137254901961,4.827586206896552,Yunnan,Kunming,0,16.762754572067017,0
0146431,1.944444444444444,2011,3,4.921636163836157,3.3333333333333335,4.625,Yunnan,Lincang,1,17.824413941613933,1
0146432,3.3333333333333335,2011,4.818181818181818,5.587798732928422,4.090909090909091,5.540540540540542,Yunnan,Lincang,1,23.37076351589321,1
0146433,2.6666666666666665,2011,3.2,4.0148234949183514,2.6666666666666665,5,Yunnan,Lincang,0,17.548156828251685,0
0182061,2.5,2011,1.5,4.639823414596706,3.75,5,Yunnan,Lijiang,0,17.389823414596705,0
0182062,2.5,2011,2,4.654499110511637,3.0877192982456143,4.852941176470588,Yunnan,Lijiang,1,17.09515958522784,1
0182063,3.3333333333333335,2011,3.0144927536231885,4.5109484258350845,1.576086956521739,4.166666666666667,Yunnan,Lijiang,0,16.60152813598001,0
0304761,2.2619047619047623,2011,5.785714285714285,6.690860009546501,3.690476190476191,4.782608695652174,Fujian,Zhangzhou,1,23.21156394329391,1
0304762,2.5,2011,7,5.113632182142565,4.333333333333333,5.131578947368421,Fujian,Zhangzhou,0,24.07854446284432,0
0304763,1.9753086419753085,2011,4.37037037037037,5.728940249766275,3.2098765432098766,5.196078431372549,Fujian,Zhangzhou,0,20.48057423669438,0
0311061,2.5,2011,3.916666666666667,5.049255654241191,4.027777777777778,5.056818181818182,Fujian,Putian,0,20.550518280503816,0
0311062,3.684210526315789,2011,3.2631578947368416,6.048068052646833,2.9824561403508767,5,Fujian,Putian,0,20.97789261405034,0
0311063,3.6,2011,4.96,5.96603761040561,4.266666666666667,5.227272727272727,Fujian,Putian,0,24.019977004345,0
0340431,0.6666666666666665,2011,2.9,5.814097489602808,1.8333333333333333,4.861111111111111,Fujian,Fuzhou,0,16.07520860071392,0
0340432,3,2011,5.1,5.654557855944074,3.6666666666666665,5.142857142857142,Fujian,Fuzhou,1,22.564081665467885,1
0340433,1.0256410256410258,2011,4.292307692307692,5.524022673938039,3.733333333333333,5,Fujian,Fuzhou,0,19.57530472522009,0
0346761,1.841787439613526,2011,2.916666666666667,5.167989023609296,2.0833333333333335,3.977272727272727,Fujian,Ningde,0,15.987049190495549,0
0346762,2.5333333333333328,2011,3.0400000000000005,5.977810174589552,3.466666666666667,4.361702127659575,Fujian,Ningde,0,19.379512302249125,0
0346763,2.7380952380952386,2011,2.2857142857142856,5.431607891381442,1.9047619047619044,4.693877551020408,Fujian,Ningde,0,17.054056870973277,0
0467461,1.6666666666666667,2011,1.625,4.510099054155506,0,5,Qinghai,Haidong,0,12.801765720822173,0
0467462,1.9540229885057474,2011,0.06896551724137931,4.348793053423855,0.2298850574712644,5,Qinghai,Haidong,0,11.601666616642246,0
0467463,2.142857142857143,2011,0.21428571428571427,4.152810780363823,0,4.9,Qinghai,Haidong,0,11.40995363750668,0
0516061,1.1666666666666667,2011,1,4.646124018794846,3.8333333333333335,4.032258064516129,Sichuan,Guangan,0,14.678382083310975,0
0516062,1.2000000000000002,2011,1.8399999999999999,4.383816229680794,2.266666666666666,4.642857142857142,Sichuan,Guangan,0,14.333340039204602,0
0516063,2.298850574712644,2011,1.0344827586206895,4.434147046913728,3.218390804597701,4.85,Sichuan,Guangan,0,15.835871184844763,0
0540541,3.3333333333333335,2011,1.9134199134199137,4.399546335418209,2.878787878787879,5.116279069767442,Sichuan,Chengdu,1,17.641366530726778,1
0540542,3.5416666666666665,2011,8,5.726027456314525,5.9375,5.041666666666666,Sichuan,Chengdu,1,28.246860789647855,1
0540543,3.0208333333333335,2011,1.125,4.688307667457879,3.2291666666666665,4.166666666666666,Sichuan,Chengdu,1,16.229974334124545,1
0542491,1.372549019607843,2011,3.0588235294117645,4.384254850109797,3.9215686274509807,4.318181818181818,Sichuan,Liangshan,0,17.055377844762205,0
0542492,1.5942028985507246,2011,3.5652173913043477,5.090717384625976,4.492753623188405,4.838709677419355,Sichuan,Liangshan,0,19.58160097508881,0
0542493,3.8596491228070176,2011,3.789473684210526,6.671490099061869,4.561403508771929,5.384615384615385,Sichuan,Liangshan,1,24.26663179946673,1
0560431,2.0987654320987654,2011,0.4444444444444445,4.798358535225808,2.298195631528965,4.8936170212765955,Sichuan,Nanchong,0,14.533381064574579,0
0560432,1.4285714285714288,2011,2.2142857142857144,3.8790843983581325,3.214285714285714,4.509803921568628,Sichuan,Nanchong,0,15.246031177069618,0
0560433,1.25,2011,3.4166666666666665,4.330532745193271,3.75,5.333333333333333,Sichuan,Nanchong,0,18.08053274519327,0
0560591,1.4285714285714288,2011,4.380952380952381,5.097329578168835,4.126984126984127,4.166666666666667,Sichuan,Nanchong,0,19.20050418134344,0
0560592,0.8695652173913043,2011,3.2173913043478266,4.563651873813228,3.1884057971014492,4.487179487179487,Sichuan,Nanchong,0,16.326193679833295,0
0560593,1.1111111111111114,2011,3.7777777777777777,4.617599059678322,4.62962962962963,5,Sichuan,Nanchong,0,19.136117578196842,0
0563021,4.938271604938271,2011,7.9259259259259265,6.694479171104078,4.567901234567901,3.3000000000000003,Sichuan,Yibin,1,27.426577936536177,1
0563022,2.4074074074074074,2011,7,6.451063471588429,4.074074074074074,4.25,Sichuan,Yibin,1,24.182544953069915,1
0563023,1.8518518518518519,2011,3.4074074074074074,5.250292272166944,2.592592592592592,4.651162790697675,Sichuan,Yibin,0,17.75330691471647,0
0563461,1.7647058823529411,2011,2.3529411764705883,4.837298955995565,4.313725490196078,5,Sichuan,Yibin,0,18.26867150501517,0
0563462,1.746031746031746,2011,3.0476190476190474,4.8686785118839815,3.3333333333333335,4.779411764705882,Sichuan,Yibin,1,17.775074403573992,1
0563463,5.797101449275363,2011,7.913043478260869,7.817060154452709,4.63768115942029,8.243243243243244,Sichuan,Yibin,1,34.40812948465248,1
0566041,1.351351351351351,2011,0.918918918918919,4.337478653213836,2.4324324324324325,4.384615384615385,Sichuan,Ziyang,0,13.424796740531923,0
0566042,1.6666666666666667,2011,0.9999999999999998,4.327643286262896,3.194444444444444,5.119047619047619,Sichuan,Ziyang,0,15.307802016421626,0
0566043,2.1296296296296293,2011,2.111111111111111,5.290341110201136,3.7962962962962963,4.84375,Sichuan,Ziyang,1,18.17112814723817,1
0574571,1.9230769230769227,2011,1.076923076923077,4.692460056342449,2.307692307692308,5,Sichuan,Neijiang,0,15.000152364034756,0
0574572,2.1794871794871793,2011,0.6923076923076924,4.321053835376773,2.948717948717949,4.772727272727273,Sichuan,Neijiang,0,14.914293928616868,0
0574573,0.9259259259259259,2011,0.5555555555555556,4.400017279079682,3.2407407407407405,4.84375,Sichuan,Neijiang,0,13.965989501301904,0
0576331,3.1944444444444446,2011,0.08333333333333333,5.234342902584626,7.777777777777776,4.861111111111111,Sichuan,Ganzi,0,21.15100956925129,0
0576332,3.2432432432432434,2011,1.4594594594594594,5.113175367055782,6.396396396396397,4.824561403508772,Sichuan,Ganzi,0,21.036835869663655,0
0576333,3.3333333333333335,2011,1.6363636363636362,5.70109113662146,6.363636363636364,5.166666666666667,Sichuan,Ganzi,0,22.20109113662146,0
0582021,3.444444444444444,2011,6.625,7.025891813576542,4.583333333333333,5.7142857142857135,Sichuan,Mianyang,1,27.39295530564003,1
0582022,2.5,2011,3.9,3.7228786360685717,4.666666666666667,4.722222222222222,Sichuan,Mianyang,0,19.51176752495746,0
0582023,3.1999999999999997,2011,2.48,4.022594469107447,3.6,4.390243902439025,Sichuan,Mianyang,1,17.692838371546472,1
0586591,0.9523809523809522,2011,1.8571428571428572,4.2577207960489245,4.166666666666667,5,Sichuan,Meishan,0,16.2339112722394,0
0586592,3.3333333333333335,2011,8.714285714285715,7.3966799086293635,6.190476190476191,8.846153846153847,Sichuan,Meishan,1,34.48092899287845,1
0586593,0.3703703703703705,2011,1.1111111111111112,4.495073973123218,2.8395061728395063,5,Sichuan,Meishan,0,13.816061627444206,0
0604401,3.2098765432098766,2011,2.6666666666666665,4.216769596831122,3.950617283950617,4.8979591836734695,Hebei,Baoding,0,18.94188927433175,0
0604402,3.4722222222222228,2011,3,3.6279999359923867,3.4722222222222228,5.056818181818182,Hebei,Baoding,0,18.629262562255015,0
0604403,3.214285714285714,2011,3.3571428571428568,4.68736457372357,3.690476190476191,4.680851063829787,Hebei,Baoding,0,19.630120399458118,0
0604811,2.702702702702702,2011,4.594594594594595,4.411760329546802,3.2432432432432434,3.93939393939394,Hebei,Baoding,0,18.891694809481283,0
0604812,3.2352941176470593,2011,4.235294117647058,4.847027193715977,3.2352941176470584,4.838709677419355,Hebei,Baoding,0,20.391619224076507,0
0604813,3.043478260869565,2011,3.5652173913043477,4.527870492290101,3.6231884057971016,4.404761904761905,Hebei,Baoding,0,19.16451645502302,0
0640281,5.686274509803923,2011,9.411764705882351,7.762424356759297,6.2745098039215685,7.931034482758621,Hebei,Shijiazhuang,1,37.06600785912576,1
0640282,7.142857142857142,2011,9.619047619047619,7.624320667689965,6.666666666666667,9.032258064516128,Hebei,Shijiazhuang,1,40.085150160777516,1
0640283,6,2011,9.733333333333334,7.527653968165612,6.666666666666667,10,Hebei,Shijiazhuang,1,39.927653968165615,1
0640331,4.074074074074074,2011,3.481481481481482,3.6174672841656825,0.24691358024691357,4.891304347826087,Hebei,Shijiazhuang,0,16.31124076779424,0
0640332,6.984126984126984,2011,7.238095238095238,5.274205231671341,6.190476190476191,4.602272727272727,Hebei,Shijiazhuang,0,30.28917637164248,0
0640333,3.3333333333333335,2011,3.2727272727272725,4.150362361951124,0.3125,4.7368421052631575,Hebei,Shijiazhuang,0,15.805765073274888,0
